filename,Lat,Lon,response,n
../EU chronologies/EU Preped Chron/Switzerland/swit379.rwl,46.93025,9.21343,No,32
../EU chronologies/EU Preped Chron/Switzerland/swit380.rwl,47.2525,9.04131,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit381.rwl,47.24067,8.56923,No,30
../EU chronologies/EU Preped Chron/Switzerland/swit382.rwl,46.89649,8.9425,No,29
../EU chronologies/EU Preped Chron/Switzerland/swit390.rwl,47.180832,9.176242,No,12
../EU chronologies/EU Preped Chron/Switzerland/swit392.rwl,47.014324,8.739395,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit394.rwl,47.069881,8.677936,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit396.rwl,46.726701,8.902934,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit398.rwl,46.653633,8.985493,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit400.rwl,46.571349,9.418137,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit402.rwl,46.559829,9.35523,No,14
../EU chronologies/EU Preped Chron/Switzerland/swit404.rwl,46.6572,9.593863,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit406.rwl,46.641644,9.724754,No,15
../EU chronologies/EU Preped Chron/Switzerland/swit408.rwl,46.555732,9.607258,No,72
../EU chronologies/EU Preped Chron/Switzerland/swit409.rwl,46.664743,8.773974,No,26
../EU chronologies/EU Preped Chron/Switzerland/swit410.rwl,46.770948,9.877178,No,67
../EU chronologies/EU Preped Chron/Switzerland/swit412.rwl,46.817786,8.24053,No,62
